stamp,ant0_left_rad,ant1_right_rad,diff_rad,sum_rad,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,body_yaw_rad,note
1783079425.701,0.57831,-0.62126,1.19957,-0.04295,-0.0112,0.0092,-0.0500,1.91,20.26,-23.40,-0.4403,
1783079431.634,0.77619,-0.82988,1.60608,-0.05369,-0.0113,0.0091,-0.0500,1.89,20.28,-22.77,-0.4295,
1783079435.431,1.17810,-1.21338,2.39148,-0.03528,-0.0113,0.0091,-0.0500,1.89,20.28,-22.86,-0.4310,
1783079438.775,1.53705,-1.56313,3.10018,-0.02608,-0.0113,0.0091,-0.0500,1.89,20.28,-22.86,-0.4310,
1783079446.978,1.88219,-1.91901,3.80120,-0.03682,-0.0113,0.0091,-0.0500,1.89,20.28,-22.86,-0.4310,
1783079451.046,2.23348,-2.28103,4.51451,-0.04755,-0.0113,0.0091,-0.0500,1.89,20.29,-22.86,-0.4310,
1783079456.764,2.48198,-2.55101,5.03299,-0.06903,-0.0113,0.0091,-0.0500,1.89,20.28,-22.86,-0.4310,
1783079461.643,2.49579,-2.56942,5.06520,-0.07363,-0.0113,0.0091,-0.0500,1.93,20.27,-22.90,-0.4310,
1783079465.865,2.25342,-2.32705,4.58047,-0.07363,-0.0111,0.0094,-0.0500,1.95,20.24,-24.50,-0.4587,
1783079472.177,1.88680,-1.98037,3.86717,-0.09357,-0.0111,0.0094,-0.0500,1.89,20.24,-24.49,-0.4587,
1783079475.877,1.47569,-1.55392,3.02961,-0.07823,-0.0110,0.0094,-0.0500,1.93,20.22,-24.57,-0.4602,
1783079486.210,1.17196,-1.25019,2.42216,-0.07823,-0.0111,0.0094,-0.0500,1.92,20.22,-24.42,-0.4571,
1783079489.846,0.82682,-0.87590,1.70272,-0.04909,-0.0111,0.0094,-0.0500,1.90,20.29,-24.66,-0.4617,
1783079494.460,0.57984,-0.60592,1.18577,-0.02608,-0.0110,0.0094,-0.0500,1.91,20.26,-24.92,-0.4663,
1783079498.120,0.45866,-0.49394,0.95260,-0.03528,-0.0110,0.0095,-0.0500,1.88,20.28,-24.90,-0.4663,
1783079624.725,0.50621,-0.56297,1.06918,-0.05676,-0.0036,0.0022,-0.0025,2.61,2.32,-2.61,-0.0123,
1783079628.005,0.76852,-0.82835,1.59687,-0.05983,-0.0039,0.0023,-0.0026,2.40,2.51,-2.32,-0.0123,
1783079631.257,1.07685,-1.10753,2.18439,-0.03068,-0.0038,0.0023,-0.0026,2.43,2.48,-2.37,-0.0123,
1783079634.244,1.41893,-1.47262,2.89155,-0.05369,-0.0038,0.0023,-0.0026,2.43,2.48,-2.46,-0.0138,
1783079638.852,1.85305,-1.91134,3.76439,-0.05829,-0.0039,0.0022,-0.0026,2.49,2.58,-2.41,-0.0123,
1783079643.065,2.07087,-2.14911,4.21998,-0.07823,-0.0043,0.0021,-0.0027,2.85,2.77,-2.91,-0.0138,
1783079645.894,2.28256,-2.36693,4.64950,-0.08437,-0.0044,0.0021,-0.0027,2.82,2.79,-3.01,-0.0138,
1783079649.401,2.44670,-2.52953,4.97623,-0.08283,-0.0042,0.0021,-0.0027,2.78,2.84,-3.05,-0.0138,
1783079652.133,2.53260,-2.63845,5.17105,-0.10584,-0.0043,0.0021,-0.0027,2.69,2.86,-3.06,-0.0138,
1783079655.188,2.48965,-2.57862,5.06827,-0.08897,-0.0043,0.0021,-0.0027,2.77,2.91,-2.91,-0.0138,
1783079658.631,2.36080,-2.47738,4.83818,-0.11658,-0.0044,0.0022,-0.0027,2.83,2.84,-2.91,-0.0138,
1783079661.357,2.14297,-2.24268,4.38565,-0.09971,-0.0044,0.0022,-0.0027,2.83,2.84,-2.82,-0.0123,
1783079665.694,1.89753,-2.01565,3.91318,-0.11812,-0.0043,0.0021,-0.0027,2.77,2.91,-2.82,-0.0123,
1783079668.708,1.53551,-1.64750,3.18301,-0.11198,-0.0042,0.0022,-0.0027,2.78,2.80,-2.96,-0.0138,
1783079671.951,1.29621,-1.40206,2.69827,-0.10584,-0.0043,0.0021,-0.0027,2.80,2.79,-2.82,-0.0138,
1783079674.809,1.05691,-1.14282,2.19973,-0.08590,-0.0043,0.0020,-0.0027,2.79,2.74,-2.77,-0.0138,
1783079677.444,0.77619,-0.83755,1.61375,-0.06136,-0.0042,0.0020,-0.0027,2.73,2.62,-2.77,-0.0138,
1783079680.013,0.62740,-0.67188,1.29928,-0.04449,-0.0042,0.0019,-0.0027,2.76,2.65,-2.68,-0.0138,
1783079685.103,0.55990,-0.59365,1.15355,-0.03375,-0.0045,0.0021,-0.0028,2.60,2.81,-2.53,-0.0138,
