stamp,ant0_left_rad,ant1_right_rad,diff_rad,sum_rad,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,body_yaw_rad,note
1783079425.701,0.57831,-0.62126,1.19957,-0.04295,-0.0112,0.0092,-0.0500,1.91,20.26,-23.40,-0.4403,
1783079431.634,0.77619,-0.82988,1.60608,-0.05369,-0.0113,0.0091,-0.0500,1.89,20.28,-22.77,-0.4295,
1783079435.431,1.17810,-1.21338,2.39148,-0.03528,-0.0113,0.0091,-0.0500,1.89,20.28,-22.86,-0.4310,
1783079438.775,1.53705,-1.56313,3.10018,-0.02608,-0.0113,0.0091,-0.0500,1.89,20.28,-22.86,-0.4310,
1783079446.978,1.88219,-1.91901,3.80120,-0.03682,-0.0113,0.0091,-0.0500,1.89,20.28,-22.86,-0.4310,
1783079451.046,2.23348,-2.28103,4.51451,-0.04755,-0.0113,0.0091,-0.0500,1.89,20.29,-22.86,-0.4310,
1783079456.764,2.48198,-2.55101,5.03299,-0.06903,-0.0113,0.0091,-0.0500,1.89,20.28,-22.86,-0.4310,
1783079461.643,2.49579,-2.56942,5.06520,-0.07363,-0.0113,0.0091,-0.0500,1.93,20.27,-22.90,-0.4310,
1783079465.865,2.25342,-2.32705,4.58047,-0.07363,-0.0111,0.0094,-0.0500,1.95,20.24,-24.50,-0.4587,
1783079472.177,1.88680,-1.98037,3.86717,-0.09357,-0.0111,0.0094,-0.0500,1.89,20.24,-24.49,-0.4587,
1783079475.877,1.47569,-1.55392,3.02961,-0.07823,-0.0110,0.0094,-0.0500,1.93,20.22,-24.57,-0.4602,
1783079486.210,1.17196,-1.25019,2.42216,-0.07823,-0.0111,0.0094,-0.0500,1.92,20.22,-24.42,-0.4571,
1783079489.846,0.82682,-0.87590,1.70272,-0.04909,-0.0111,0.0094,-0.0500,1.90,20.29,-24.66,-0.4617,
1783079494.460,0.57984,-0.60592,1.18577,-0.02608,-0.0110,0.0094,-0.0500,1.91,20.26,-24.92,-0.4663,
1783079498.120,0.45866,-0.49394,0.95260,-0.03528,-0.0110,0.0095,-0.0500,1.88,20.28,-24.90,-0.4663,
